#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.100   -101.018   -102.170   -117.962    -20.735    182.485    102.739
      0.200   -102.606    -83.479   -107.149    -11.028    191.335    113.515
      0.300   -103.089    -63.900    -95.184      1.384    200.229    125.785
      0.400   -102.146    -43.457    -81.907     17.475    208.646    139.751
      0.500    -99.344    -22.248    -67.147     38.553    215.519    155.458
      0.600    -94.109     -0.534    -50.752     66.146    218.769    172.442
      0.700    -85.740     21.142    -32.681    101.242    214.747    188.974
      0.800    -73.576     41.810    -13.178    142.044    198.625    201.078
      0.900    -57.415     60.150      7.043    181.169    168.171    203.341
      1.000    -37.932     75.030     26.870    208.494    129.431    193.204
      1.100    -16.450     86.100     45.335    221.141     91.957    176.098
      1.200      5.757     93.739     62.005    222.992     60.825    157.303
      1.300     27.844     98.607     76.852    218.751     36.543    139.630
      1.400     49.359    101.329     90.032    211.553     17.902    123.971
      1.500     70.093    102.401    101.749    203.123      3.525    110.365
      1.600     89.966    102.192    112.196    194.341     -7.700     98.574
      1.700    108.965    100.978    121.540    185.640    -16.587     88.309
      1.800    127.108     98.962    129.921    177.221    -23.718     79.309
      1.900    144.427     96.301    137.454    169.167    -29.509     71.352
      2.000    160.961     93.112    144.234    161.503    -34.263     64.261
      2.100    176.747     89.489    150.342    154.224    -38.198     57.894
      2.200    191.824     85.505    155.844    147.311    -41.481     52.135
      2.300    206.226     81.220    160.795    140.740    -44.233     46.894
      2.400    219.987     76.680    165.244    134.482    -46.551     42.095
      2.500    233.137     71.927    169.233    128.512    -48.509     37.678
      2.600    245.703     66.994    172.797    122.805    -50.165     33.592
      2.700    257.710     61.907    175.966    117.336    -51.565     29.795
      2.800    269.181     56.692    178.768    112.087    -52.747     26.253
      2.900    280.137     51.367    181.228    107.036    -53.741     22.935
      3.000    290.598     45.952    183.365    102.167    -54.571     19.818
      3.100    300.579     40.460    185.200     97.464    -55.258     16.880
      3.200    310.098     34.906    186.749     92.913    -55.820     14.103
      3.300    319.169     29.302    188.028     88.501    -56.270     11.470
      3.400    327.804     23.657    189.050     84.216    -56.621      8.968
      3.500    336.018     17.982    189.827     80.049    -56.882      6.584
      3.600    343.820     12.285    190.372     75.989    -57.063      4.309
      3.700    351.220      6.573    190.694     72.028    -57.170      2.133
      3.800    358.230      0.854    190.803     68.157    -57.211      0.048
      3.900    364.856     -4.866    190.708     64.370    -57.190     -1.954
      4.000    371.108    -10.581    190.416     60.659    -57.112     -3.880
      4.100    376.991    -16.286    189.936     57.019    -56.981     -5.734
      4.200    382.515    -21.975    189.273     53.444    -56.801     -7.522
      4.300    387.683    -27.644    188.434     49.928    -56.575     -9.250
      4.400    392.503    -33.288    187.426     46.467    -56.304    -10.921
